TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates,Position of Vehicles
0,"(None, None)","(None, None)",[]
1,"(None, None)","(None, None)",[]
2,"(None, None)","(None, None)",[]
3,"(None, None)","(None, None)",[]
4,"(None, None)","(None, None)",[]
5,"(None, None)","(None, None)",[]
6,"(None, None)","(None, None)",[]
7,"(None, None)","(None, None)",[]
8,"(None, None)","(None, None)",[]
9,"(None, None)","(None, None)",[]
830,"(26.11842779358607, 29.470726716914708)","(32.38224708120612, 68.79946110473645)","[(72.98188896019111, 58.26398709182562), (54.497205824417016, 69.03836777887177), (7.020750808856491, 76.38670040956775), (7.008985830342662, 73.18664573722594), (76.01157569787443, 40.27896660615554), (36.862281211761925, 76.31), (18.942956839706977, 80.94554943609855), (16.8116079151297, 94.6749220225306), (16.762336347668334, 104.16460849261519), (16.72987693428593, 113.5082824876939), (13.532745090446284, 112.66591254874064), (63.39893465128324, 33.714911274702935), (63.376107025325524, 36.9148969010042), (17.579943028399516, 31.642737920009054), (4.216510052402628, 30.29542786400499)]"
831,"(27.523802963227613, 29.37301764958488)","(32.97373976275985, 64.74456712905423)","[(73.11216583924146, 52.92781180091927), (61.974181409877616, 65.61872236950585), (7.025380103715165, 76.38666967565997), (7.008985830342662, 73.18664573722594), (83.09553162105618, 37.17339180956882), (46.57805252462855, 72.66024615979717), (24.980602639299388, 76.87419962295724), (16.847524012810393, 90.01031883625024), (16.76582669389452, 103.15988740036293), (16.735920422323737, 111.76862128823907), (13.536309713109464, 111.64031968536287), (63.39893465128324, 33.714911274702935), (63.37822995757892, 36.914907692526526), (24.957848208463098, 33.18129127389952), (9.370803367650455, 30.392207855654895), (-1.1864607911172795, 30.302921582234557)]"
832,"(28.767364703937417, 29.06714394687275)","(36.153401156306245, 63.66921278970015)","[(73.50912378417071, 46.50379461452145), (69.37492234127333, 62.233943395348625), (7.02777618511883, 76.3866537680656), (7.008985830342662, 73.18664573722594), (92.4589271036135, 36.732016463553954), (53.55326964865246, 69.47008338009222), (32.61373892745724, 76.31), (16.85116864387182, 89.53697237714722), (16.777549050714338, 99.7855232586587), (16.738197734224446, 111.11308079110566), (13.536309713109464, 111.64031968536287), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (34.639132405662, 33.56871629011633), (16.26265049100186, 31.31039347250047), (1.32475238770461, 30.299438623595414)]"
833,"(26.252489579566145, 28.84625252082792)","(35.45736832599081, 64.26552962611106)","[(76.82563157536666, 39.578022082430174), (72.90131713254091, 58.89960928773282), (7.0285075500200485, 76.38664891253099), (7.008985830342662, 73.18664573722594), (61.40379249502109, 65.87959360172376), (39.92305531792541, 75.70395419215977), (16.851768707293715, 89.4590391402288), (16.7921391598904, 97.20342660923458), (16.747769657862822, 108.35773420091688), (13.536309713109464, 111.64031968536287), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (46.195325657016824, 33.62746000051576), (24.45879594839535, 33.13689453247669), (5.409211891094128, 30.293773631219008)]"
834,"(27.33481726648042, 28.644433455741495)","(38.31250139360416, 63.12045217989717)","[(85.07035846775071, 36.86295501359222), (73.11240809151053, 52.89345235408888), (9.540406488167278, 76.37494122228843), (8.392266264341801, 73.17872090638127), (65.52714177906637, 63.993751888154875), (47.871070674218245, 72.06887555427193), (16.852170347408983, 89.40687613025854), (16.793144431181183, 97.07286700034409), (16.758880070070457, 105.15952268686159), (13.536309713109464, 111.64031968536287), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (53.251518908371644, 33.663328816817476), (34.710458128217915, 33.56907886086075), (6.493473286665224, 30.29226980126676)]"
835,"(28.676368978823245, 28.541194181697367)","(40.784469517659716, 62.25803732426963)","[(93.28510825727848, 36.72074010567864), (73.35352904093975, 47.54757601702916), (14.350472916520761, 76.35883095195423), (8.392266264341801, 73.17872090638127), (70.63628809400431, 61.59916027231137), (54.942004418548436, 68.83493613018862), (16.852244978516417, 89.3971834151804), (16.794251401847273, 96.92909918508563), (16.760671942742217, 104.6437193392053), (13.540443808991101, 110.45088124170316), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.807712159726464, 33.67632273902149), (43.17967709149679, 33.612130524610826), (7.094458135959333, 30.29143625778646)]"
836,"(26.933650534748203, 28.199366601675553)","(36.326639144538994, 63.90267184805728)","[(75.647393875041, 40.88274173348464), (21.43300107220432, 76.33510956578688), (10.663604863764727, 76.37117931385342), (1.0600000000000005, 73.22614107883818), (73.08658813997775, 56.555582146489925), (61.70789237894475, 65.74051146080164), (16.85227315223288, 89.3935243537547), (16.794430344683565, 96.90585898422194), (16.76135841114876, 104.44611450503612), (13.540443808991101, 110.45088124170316), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.888709623298666, 33.676734474221796), (47.57336571530087, 33.63446500504813), (7.112611528513871, 30.291411079710798)]"
837,"(28.12924526698591, 27.6141753372537)","(36.00785333108244, 64.03665159636806)","[(83.4268750687089, 37.12130562366887), (30.796336829067187, 76.31), (15.42972198293318, 76.35521624216243), (2.968495083968154, 76.41360335213963), (1.0600000000000005, 73.22614107883818), (73.13634903823224, 49.49782807739483), (67.50694671286763, 63.08827469675162), (16.852288670662123, 89.39150889775696), (16.794501643572552, 96.8965990410151), (16.7615184523563, 104.40004550029387), (13.540443808991101, 110.45088124170316), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89745117706548, 33.67677891024772), (48.05605304801142, 36.83702032049258), (7.120757526900092, 30.291399781516088)]"
838,"(28.805117581613775, 27.800661614090675)","(38.36661429394577, 63.5200927771523)","[(91.9720066161285, 36.73866233008014), (40.49444129978759, 75.44262694459586), (21.883999550368824, 76.33359904456815), (6.451485882718117, 76.39047976177449), (3.4834971106052404, 73.21005147146487), (73.73539151762262, 44.985915235948276), (71.8719125044213, 60.64902826217197), (16.85229109713846, 89.39119375914272), (16.794531503261172, 96.8927210139553), (16.761552285353154, 104.39030643048552), (13.540443808991101, 110.45088124170316), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89776480533888, 33.676780504517396), (50.22099125391232, 36.84802537208993), (7.127605213502494, 30.291390284031202)]"
839,"(26.58083370345105, 28.12339220637144)","(36.78890990247974, 64.27904961708212)","[(50.844622113491596, 70.70890167009907), (30.834434000573946, 76.31), (7.022287838897416, 76.38669020521894), (3.9625497767660365, 73.20687103882645), (77.39922868361896, 39.23144229934369), (73.09225993908883, 55.751131972567066), (16.852292245827265, 89.391044573184), (16.794534156414773, 96.89237643563142), (16.76156560594839, 104.3864720019991), (13.540443808991101, 110.45088124170316), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (54.92539483848046, 36.87193931293213), (7.1282049715737665, 30.291389452189218)]"
840,"(27.982994991739485, 28.428168193564204)","(38.63346163506124, 63.294411288239075)","[(61.29066255347791, 65.93133434647251), (39.32401194384083, 75.97535181078536), (7.027698796163751, 76.3866542818512), (3.9625497767660365, 73.20687103882645), (85.46321986168546, 36.827499273953336), (73.21220070064862, 48.49565363314886), (16.852292245827265, 89.391044573184), (16.794536234807193, 96.89210650441608), (16.761566974751915, 104.3860779821272), (13.540443808991101, 110.45088124170316), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (55.46870609986119, 36.87470113239127), (7.1282049715737665, 30.291389452189218)]"
841,"(30.06343188814626, 28.653488232989496)","(40.53422004586086, 62.32131973327068)","[(69.2780930816852, 62.278228912836035), (46.989214602493256, 72.47219839957584), (7.028938170050191, 76.38664605364282), (3.9625497767660365, 73.20687103882645), (95.86448998608844, 36.68553471356567), (75.45801843025228, 41.19670628668701), (16.852292245827265, 89.391044573184), (16.794536234807193, 96.89210650441608), (16.761567891694217, 104.38581403373625), (13.540443808991101, 110.45088124170316), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (55.679120930160394, 36.87577073616009), (7.1282049715737665, 30.291389452189218)]"
842,"(28.38737468751048, 28.896241647657796)","(38.062788738833866, 63.05615247453505)","[(73.08079045354367, 57.37788733905593), (56.88947281398531, 67.94424827355164), (7.028938170050191, 76.38664605364282), (3.9625497767660365, 73.20687103882645), (82.16526801464269, 37.31962642951639), (17.013813871636742, 87.3474837589065), (16.794536234807193, 96.89210650441608), (16.761567891694217, 104.38581403373625), (13.540443808991101, 110.45088124170316), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (55.837625778459696, 36.87657646540872), (7.1282049715737665, 30.291389452189218)]"
843,"(29.806609128014518, 28.716138060731385)","(39.27573261001789, 61.776113474311174)","[(73.13651307333079, 49.47456243258362), (65.42520048807816, 64.04037542781582), (7.028938170050191, 76.38664605364282), (3.9625497767660365, 73.20687103882645), (89.7531092289642, 36.7689475537448), (17.775963406312073, 82.87518331500152), (16.80293298881843, 95.80157807720653), (16.761567891694217, 104.38581403373625), (13.540443808991101, 110.45088124170316), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (55.869002178147944, 36.87673596136873), (7.1282049715737665, 30.291389452189218)]"
844,"(28.027819590688225, 28.669330920209443)","(33.60264340075062, 60.20728703994846)","[(73.71546255707898, 45.119605346261835), (70.26147874733691, 61.82847082030978), (7.028938170050191, 76.38664605364282), (3.9625497767660365, 73.20687103882645), (21.52044828305628, 78.36377191421869), (16.83072640121322, 92.19190864243294), (16.76475264161373, 103.46906102119124), (13.540443808991101, 110.45088124170316), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (55.87555553633331, 36.876769274118615), (9.447281921662668, 30.398507571800877), (-1.1864607911172795, 30.302921582234557)]"
845,"(27.330123564277905, 30.495060248833333)","(33.78277152836041, 62.460634252251126)","[(76.2920840735735, 39.9004030267854), (73.08144109280104, 57.28560500438557), (7.028938170050191, 76.38664605364282), (3.9625497767660365, 73.20687103882645), (28.718758375401, 76.34017737494271), (17.10090981773642, 86.75716679089759), (16.776251832131972, 100.15893689344018), (16.740443808991103, 110.46653212613302), (13.52772591857001, 114.11), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (55.8768735330661, 36.87677597390432), (14.292924784931499, 30.813444326473544), (0.6668411838638137, 30.300351121797693)]"
846,"(27.258709347967713, 29.39947104192608)","(35.800035114308926, 60.84190978102167)","[(83.62076309960068, 37.090827012752165), (73.13231753622493, 50.06962944543007), (7.028938170050191, 76.38664605364282), (5.3831957431701545, 73.1974393643607), (36.2082827328287, 76.31), (19.76736254714427, 79.58238736722198), (16.805948876105063, 95.40988971585524), (16.745765767651395, 108.93456831177716), (13.53648673638175, 111.58938756102229), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (55.87763415467762, 36.87677984037961), (21.270560540829436, 32.58007389915612), (4.9474402524461025, 30.294414091189395)]"
847,"(28.44082405575123, 28.229877278047134)","(36.24270820133383, 57.68189880477293)","[(94.02369215464013, 36.710659342748315), (73.6705076581772, 45.42117779306132), (7.028938170050191, 76.38664605364282), (6.916069916874917, 73.187262606361), (43.618780227442485, 74.01368938165473), (27.510369156092082, 76.51280440627256), (16.85589977293253, 88.92251699038745), (16.75900206920271, 105.12440436521987), (13.53848930637268, 111.01321956648904), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (55.87795904484044, 36.876781491896956), (30.92085364256751, 33.549815127242645), (11.673400335742233, 30.581878116617975), (-1.1864607911172795, 30.302921582234557)]"
848,"(24.403367561597285, 30.11653507478456)","(33.93508493551648, 61.36187990418473)","[(76.70309618247735, 39.65206061797542), (7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (52.17245282077493, 70.10160930560262), (34.96082982164031, 76.31), (17.316472720391197, 85.29612933957077), (16.78, 98.86606348576197), (16.740689127476106, 110.39591544794982), (13.52772591857001, 114.11), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (55.87795904484044, 36.876781491896956), (41.001861082073106, 33.60106001114863), (20.563543857880727, 32.4000765326256), (0.6118632530995463, 30.300427374128848)]"
849,"(25.620154368805263, 28.786997861224137)","(36.97308380570429, 59.875816515209145)","[(84.87196344519568, 36.89414210994083), (7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (62.99061548452238, 65.15384936336135), (44.02939413927962, 73.82589232887766), (19.269473679858788, 80.40565097672473), (16.81055734328588, 94.81136504074654), (16.751853069445172, 107.1822950097119), (13.536761435885124, 111.51035258962307), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (55.87795904484044, 36.876781491896956), (46.582868521578696, 33.62943000095691), (30.415214307968004, 33.54724480585807), (3.7278152803689997, 30.296105665353164)]"
850,"(26.718728102557577, 29.81985631224935)","(38.208085944683994, 61.7581279302298)","[(93.52338634994965, 36.71748790241197), (7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (70.06425847992804, 61.91867084495479), (53.56588296803628, 69.46431459306935), (25.522213166948823, 76.79682669043588), (16.857790347455197, 88.67697862425644), (16.76614014313962, 103.06965879623888), (16.73903870537943, 110.87100123720782), (13.52772591857001, 114.11), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (55.87795904484044, 36.876781491896956), (47.817702339173344, 33.63570704380263), (36.46300329257681, 33.57798759086879), (6.107495164590341, 30.292805138467973)]"
851,"(23.906424649734703, 28.996709740644505)","(36.21715550425625, 62.03141212113484)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.02376803382732, 57.93360773313997), (60.81411411514704, 66.14928700137318), (33.71131240936305, 76.31), (17.42505327288727, 84.56019448376405), (16.793571952796444, 97.01734263056204), (16.739738096469953, 110.66967651614998), (13.536516565736504, 111.580805229526), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (55.87795904484044, 36.876781491896956), (48.30092886830717, 33.63816343395355), (39.78629711121698, 33.59488092290367), (6.760363458467787, 30.29189963459297)]"
852,"(24.250338821932797, 27.69809422188469)","(37.286185436886626, 60.77652772839261)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.11437481712663, 52.61450510420624), (66.7754582492224, 63.42282589838624), (41.28214157282256, 75.08236689133604), (19.772558598541544, 79.57379565065719), (16.82637491354716, 92.75705810306253), (16.740437487560474, 110.46835179509215), (13.552370138096087, 107.01950598206837), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (55.87795904484044, 36.876781491896956), (48.36017447983685, 33.638464597751216), (40.61678974195446, 36.7992042404279), (6.955462807597521, 30.291629039101807)]"
853,"(24.4974206697514, 28.5565622144627)","(37.220788124367516, 62.46502310517788)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.126690894884, 50.86767474228423), (71.14910556317595, 61.281298204643), (49.16366156238804, 71.47770035965), (26.9350579260433, 76.59499172485096), (17.01712404537069, 87.325048136932), (16.746636420176046, 108.68394476361006), (13.576544827811137, 100.06410239833872), (13.52772591857001, 114.11), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (55.87795904484044, 36.876781491896956), (48.38773315219599, 33.63860468702048), (43.48756546527362, 36.81379728279439), (7.052728154478584, 30.291494135708074)]"
854,"(24.61685778810449, 27.536354067991464)","(38.920288671702885, 61.23771361800573)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.1307649343625, 50.28984014291748), (72.89589763511897, 58.91921097020459), (58.13981029197242, 67.37239796216757), (35.17799515180824, 76.31), (19.556497558936695, 79.93105447491608), (16.752809065546167, 106.90710470349666), (16.78886468670176, 97.6286988146091), (13.534498861661557, 112.16132751623168), (63.39893465128324, 33.714911274702935), (63.37897960269936, 36.91491150320491), (55.89791630354095, 33.67678127462969), (55.87795904484044, 36.876781491896956), (48.39586370925204, 33.63864601716084), (47.5951741498581, 36.83467753027321), (7.093907189850147, 30.291437021928086)]"
855,"(24.932834885487612, 26.82542742637939)","(40.43582504337958, 60.38532285258703)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13201296011738, 50.112828490018344), (72.98571625100868, 58.23379401982042), (63.80307293315103, 64.78226644821706), (43.471537524520855, 74.08103182879174), (26.1395762274676, 76.70863196750463), (16.758068374460183, 105.39317506610425), (16.82020438919093, 93.5584549538279), (13.534513556932296, 112.1570994769078), (65.62733186178146, 33.71469707788957), (65.7042441265193, 36.91429751333078), (55.89791630354095, 33.67678127462969), (55.87795904484044, 36.876781491896956), (48.39684214953311, 33.63865099087591), (48.10274919593167, 36.8372576914789), (7.128246256940538, 30.29138939492796)]"
856,"(25.690777140682883, 28.220666521681792)","(40.90439550783887, 62.47811632429139)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13254001467135, 50.03807458578094), (73.05464120832562, 57.69005268987561), (67.34260014930305, 63.163439710361075), (51.702061592069754, 70.31674591899154), (33.875208442511074, 76.31), (16.770493241719745, 101.81658827638762), (16.994275247555745, 87.47991221101105), (16.7345135569323, 112.1735975402032), (13.52772591857001, 114.11), (69.40131644366674, 33.69839085550024), (70.28039451254418, 36.89459160257756), (58.0668336001071, 33.68780655317761), (57.54751475629513, 36.885268360805796), (48.39684214953311, 33.63865099087591), (48.29487746883777, 36.83823433901132), (7.128246256940538, 30.29138939492796)]"
857,"(26.811875387955958, 26.931953351120153)","(43.03371750934511, 61.27468971268333)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13282291781186, 49.99794949035085), (73.0664591723349, 57.59682208491357), (68.1795806316145, 62.78064101972058), (57.57357743086784, 67.63136839506207), (41.46472776171166, 74.99885986158696), (16.802007825270437, 95.92173369300203), (19.587061120300767, 79.88051735809917), (16.741462327883955, 110.17334418769084), (13.533478177034418, 112.45499306466895), (74.51582105297777, 33.676292659876715), (76.6795471054726, 36.86703544308648), (61.62995410289305, 33.705918998546196), (61.03607211178467, 36.903001778597044), (49.91574815889048, 33.646372060677784), (49.59131443290613, 36.84482452973519), (7.128246256940538, 30.29138939492796)]"
858,"(28.24434212957921, 25.683691287276954)","(45.847285165015855, 60.14044551476798)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13289032007587, 49.98838960257277), (73.07724836779005, 57.51170732076744), (68.33158258756968, 62.71112189598457), (60.763184328963575, 66.17258008392128), (47.90499334621019, 72.05336079055166), (16.988318311421082, 87.52028700036823), (27.54088414066231, 76.50844512276252), (16.755564175466997, 106.11402663342903), (13.533478177034418, 112.45499306466895), (82.21268813945622, 33.643036873137255), (84.61298435446777, 36.83287231617693), (66.18560960296864, 33.71228493210431), (66.2569537545449, 36.91191742402349), (53.79377816626677, 33.666085288617), (53.00369435892993, 36.86217071405274), (7.128246256940538, 30.29138939492796)]"
859,"(30.40201217620786, 26.805425713827425)","(47.55732437955066, 61.994416090894745)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.1329210766392, 49.98402729667315), (73.07939802902185, 57.49474888216102), (68.39309544566053, 62.6829885738434), (61.47411718757484, 65.84743012742753), (52.6873287723557, 69.8661273030079), (19.517247524928095, 79.99595475044784), (37.14172533330898, 76.31), (16.778514617696878, 99.50757790582715), (16.73906780004656, 110.86262612945511), (13.52772591857001, 114.11), (92.45637314916185, 33.53136888331444), (95.06297003207375, 36.69647447635932), (72.66067008675066, 33.684308194536364), (73.67643019259577, 36.87996752548643), (58.43858769524439, 33.68969629441242), (57.665709511376484, 36.88586918136255), (7.128246256940538, 30.29138939492796)]"
860,"(29.70831478718928, 25.558515225677258)","(42.30774079636757, 62.01199056753997)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13293293850282, 49.98234488901774), (73.08002598155956, 57.48631494880152), (68.42798575222231, 62.66703125590093), (61.5531186243379, 65.81129828541837), (54.13865668091819, 69.20235265732747), (27.274322958464563, 76.54652529164792), (44.24099382474213, 73.72911578002517), (16.840928623161485, 90.86689506690199), (16.752467321123262, 107.00547827666117), (13.53647449513673, 111.59290954208932), (80.68584415743058, 33.64963389466305), (82.47924812528649, 36.84206065400594), (64.32469233223392, 33.71961718779447), (63.718572783100555, 36.916637760546685), (8.510495945996574, 30.321342334925582), (-1.1864607911172795, 30.302921582234557)]"
861,"(31.322340637142034, 26.7399978153637)","(43.635859572333416, 64.05876747722536)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13293785756562, 49.98164720194298), (73.08004485439888, 57.483638151091355), (68.43517364195051, 62.66374382586574), (61.586665387868464, 65.79595544597814), (54.67018493608933, 68.95925461093572), (35.17888754203621, 76.31), (46.71551041368111, 72.59737886353453), (17.200110949495173, 86.08480356453272), (16.774151316972308, 100.76358518582897), (16.73846482388264, 111.0361971252113), (13.52772591857001, 114.11), (90.33671104293938, 33.56029966729382), (92.64302598648806, 36.729503739947845), (71.48501842569875, 33.689387822452574), (71.6431437048615, 36.888723304620214), (11.748367676107556, 30.588053350585465), (0.15617281421294482, 30.301059399702893)]"
862,"(28.909279916684778, 25.01068697090492)","(40.048511691215, 66.53196038962086)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294159858039, 49.981116601347516), (73.08005147582801, 57.48269901172551), (68.43806535053866, 62.66242128336367), (61.60417264612953, 65.78794838287371), (54.74067291654235, 68.92701645581315), (39.08079458201422, 76.08393099017222), (47.344611630454025, 72.30965516250394), (19.629325728813146, 79.81063245718177), (16.80707432164953, 95.26372247576737), (16.746135464245903, 108.8281485063585), (13.534899872010442, 112.04595111013855), (80.42225122878688, 33.650772798339375), (81.89696598891723, 36.84456808904294), (16.993392217150173, 31.494754917170916), (3.3443091474781026, 30.29663757399795)]"
863,"(30.582916506978563, 26.665192837471366)","(38.9205847954347, 66.53701310488262)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294159858039, 49.981116601347516), (73.08005466042155, 57.482247330208594), (68.4390447971695, 62.661973326815385), (61.61450777785879, 65.78322154039986), (54.77061726802991, 68.9133212039121), (40.054395642228435, 75.64388480555634), (47.68163688487162, 72.15551438045424), (26.046313051505834, 76.72195527835632), (16.840768954360286, 90.887632052458), (16.761822202481795, 104.31260885702636), (16.735315577630065, 111.94273015363156), (13.52772591857001, 114.11), (91.35657422154507, 33.54637978769502), (93.52719695537719, 36.717435892328794), (24.402708172293977, 33.13190484564065), (8.676913639935739, 30.33505054694693), (-1.1864607911172795, 30.302921582234557)]"
864,"(24.834856656660293, 24.883718270408103)","(34.112647301774075, 69.76215173403253)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294159858039, 49.981116601347516), (73.08005466042155, 57.482247330208594), (68.43987525054172, 62.66159351334274), (61.616766167313926, 65.78218865069138), (54.79025466363401, 68.90433990807104), (40.73351422792501, 75.33328532218925), (47.926661168774615, 72.0434508651926), (30.766522234911797, 76.31), (16.850683338246345, 89.6000014452557), (16.778911731028657, 99.3932659967516), (16.735721074556963, 111.82600496681694), (13.535405273103255, 111.9005399957206), (34.43172377253939, 33.567661967779074), (16.21131876903551, 31.29744280870162), (0.8556156180297423, 30.300089298726725)]"
865,"(24.337794974967235, 24.089568764426833)","(35.59781603537816, 69.46987979890623)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005466042155, 57.482247330208594), (68.44001614182602, 62.661529075759915), (61.61765706402947, 65.78178119304641), (54.794739158587085, 68.90228889394048), (40.992093549440874, 75.21502231869648), (47.95234594276882, 72.03170375989903), (32.09177380997118, 76.31), (16.85658797369959, 88.83313691576579), (16.787601811143876, 97.79271477768943), (16.736126571483865, 111.70927978000232), (13.550295540878968, 107.61639723853673), (45.45000315921765, 33.62367129535891), (24.933117721454405, 33.17909119762527), (4.718482567281712, 30.294731646924713)]"
866,"(24.356644106623598, 25.31850851453826)","(35.8230648828457, 71.75829510420309)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.44001614182602, 62.661529075759915), (61.61812044075127, 65.78156926456526), (54.795639731451956, 68.90187701084311), (41.09758034436688, 75.16677721880356), (47.96896134359872, 72.02410459382936), (32.55970122724256, 76.31), (16.858355530173082, 88.6035755187711), (16.797437109058883, 96.51535546097759), (16.736126571483865, 111.70927978000232), (13.558427560833872, 105.2766989257973), (13.52772591857001, 114.11), (57.40734006774392, 33.68445414324185), (36.11266530004917, 33.57620671431824), (7.095037887942275, 30.291435453692173)]"
867,"(25.223730540187226, 25.027925056858315)","(37.155900382462434, 71.58153204498076)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.44001614182602, 62.661529075759915), (61.61838070211049, 65.78145023227043), (54.79621809169926, 68.90161249386802), (41.12537121852758, 75.1540668743388), (47.972618116577465, 72.02243214394814), (33.12091715768884, 76.31), (16.859217122243518, 88.49167624862328), (16.800418896142777, 96.12809586345713), (16.742662977400176, 109.82772864837813), (13.558427560833872, 105.2766989257973), (13.530731357525903, 113.24529227754738), (68.68650043314392, 33.70147935482559), (48.2007124516316, 33.63765400286059), (7.111981940842393, 30.291411952925323)]"
868,"(26.598461051143165, 24.69730115499246)","(38.41452156475307, 71.36402447165388)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61838070211049, 65.78145023227043), (54.7967020433438, 68.90139115530663), (41.149813309921626, 75.14288811834639), (47.97370172499055, 72.02193654830347), (33.164252181687274, 76.31), (16.859220659577016, 88.49121683743515), (16.800968632861842, 96.05669880706827), (16.75231761714419, 107.0485716363512), (13.562093915659604, 104.22183626593666), (13.530731357525903, 113.24529227754738), (80.59080326219222, 33.65004453703326), (58.85340525322843, 33.691804940569924), (7.126817384550173, 30.29139137672046)]"
869,"(28.09047908360296, 25.674831039449018)","(38.50442461326064, 73.41245866726112)","[(7.028938170050191, 76.38664605364282), (7.000096411466203, 73.18670475411476), (73.13294234770721, 49.981010350194296), (73.08005578690644, 57.48208755710183), (68.4401474046321, 62.66146904182679), (61.61863035540817, 65.78133605164437), (54.79679648091809, 68.9013479636426), (41.15123037495228, 75.14224001405992), (47.974599432553774, 72.02152597567121), (33.18913350419906, 76.31), (16.859221835195804, 88.49106415394492), (16.80142471057817, 95.99746571366023), (16.76338659928193, 103.86228606384496), (13.562093915659604, 104.22183626593666), (16.732425583601213, 112.774635577651), (13.52772591857001, 114.11), (91.60203706050586, 33.54302952146716), (71.19526156803458, 33.69063977238967), (7.12792019173141, 30.291389847168194)]"
