TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates,Position of Vehicles
0,"(None, None)","(None, None)",[]
1,"(None, None)","(None, None)",[]
2,"(None, None)","(None, None)",[]
3,"(None, None)","(None, None)",[]
4,"(None, None)","(None, None)",[]
5,"(None, None)","(None, None)",[]
6,"(None, None)","(None, None)",[]
7,"(None, None)","(None, None)",[]
8,"(None, None)","(None, None)",[]
9,"(None, None)","(None, None)",[]
37,"(21.787155563226086, 29.083543414515827)","(28.451847973548155, 60.92778206470206)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.87780344756453, 36.876780700947805), (16.758489353545517, 105.27199322939818), (13.535851748503484, 111.77208264485466), (63.39895801821024, 33.714911393484265), (55.59686793955193, 33.6752509525309), (48.31716736898379, 36.83834764547916), (21.245923938102713, 38.922002760279234), (16.93, 50.75499866182178), (16.93, 62.328236338028404), (16.852218027408572, 89.40068369031155), (16.789225405035655, 97.58185052099452), (7.128293116095004, 30.291389329936067)]"
38,"(21.721054162065176, 28.979436824801397)","(28.940495239645216, 60.308355654666)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.877953217556836, 36.87678146227507), (16.75906064524524, 105.10754283297769), (13.537219330616148, 111.37860973415378), (63.39895801821024, 33.714911393484265), (55.85002951171556, 33.67653785123154), (48.361947233139276, 36.838575275401446), (28.261121242460888, 36.836848710707436), (16.93, 49.64047632495905), (16.93, 59.31581643834811), (16.86381266206392, 87.25273737293318), (16.79211237735424, 97.20690499111814), (7.128293116095004, 30.291389329936067)]"
39,"(21.79495659905823, 28.525393225825983)","(29.450169255714762, 59.73267203119729)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.877953217556836, 36.87678146227507), (16.760385891472136, 104.7260612405212), (13.537219330616148, 111.37860973415378), (63.39895801821024, 33.714911393484265), (55.893044849807666, 33.67675651152119), (48.37190604428216, 36.83862589912372), (35.824080458152004, 36.77484141435943), (16.93, 49.21287031367983), (16.93, 57.798073151662024), (16.87942600963767, 82.59549883950679), (16.80435065967067, 95.61745807527164), (7.128293116095004, 30.291389329936067)]"
40,"(21.404987529843897, 30.13780955188987)","(28.906602958528826, 62.35270820358235)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.877953217556836, 36.87678146227507), (16.76517307684599, 103.34803573647591), (16.73721933061615, 111.39472125835148), (13.52772591857001, 114.11), (63.39895801821024, 33.714911393484265), (55.89581971042343, 33.67677061699735), (48.37480577314331, 36.83864063934385), (39.78872133424927, 36.794994912176364), (16.93, 48.90037388115492), (16.93, 56.904287205747536), (16.899487851562466, 76.61133799108204), (16.834568748967634, 91.69288372782853), (7.128293116095004, 30.291389329936067)]"
41,"(21.428969072025826, 29.28348559624594)","(28.95686282150873, 61.358339795174636)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.877953217556836, 36.87678146227507), (16.777728185517972, 99.73395802589866), (16.739077041295126, 110.85996597004615), (13.533736742189094, 112.38060017588083), (63.39895801821024, 33.714911393484265), (55.89792937134904, 33.676781341057406), (48.37610960096072, 36.83864726710458), (40.531565029725286, 36.79877101681306), (16.93, 48.90037388115492), (16.93, 56.450084807452754), (16.92747852869142, 68.26211887033014), (16.844055052328038, 90.460850078896), (7.128293116095004, 30.291389329936067)]"
42,"(21.434722659722397, 28.710227021567487)","(28.970941976141496, 60.4828843998045)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.877953217556836, 36.87678146227507), (16.784534067713995, 98.19113795564503), (16.740934751974102, 110.32521068174081), (13.548265895858355, 108.20035510589601), (63.39895801821024, 33.714911393484265), (55.89792937134904, 33.676781341057406), (48.3765318903984, 36.83864941373261), (40.72559518940439, 33.599655666029165), (16.93, 48.90037388115492), (16.93, 56.40765023121885), (16.93, 64.4165382075526), (16.849154859482695, 89.7985126246848), (7.128293116095004, 30.291389329936067)]"
43,"(21.149170813275287, 30.427855014845434)","(28.153131257404688, 63.425671902612685)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.877953217556836, 36.87678146227507), (16.789687069893517, 97.52189179757958), (16.740934751974102, 110.32521068174081), (13.556036801706808, 105.96455448035564), (13.52772591857001, 114.11), (63.39895801821024, 33.714911393484265), (55.89792937134904, 33.676781341057406), (48.376807390272624, 36.83865081418382), (42.250537419124996, 33.607407419809164), (16.93, 48.90037388115492), (16.93, 56.40323223139862), (16.93, 64.01622144409593), (16.851447060905638, 89.50081296488005), (7.128293116095004, 30.291389329936067)]"
44,"(21.70448661117139, 30.243428678819033)","(26.877219838468665, 61.41331826127546)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.877953217556836, 36.87678146227507), (16.793372182613275, 97.04328778310115), (16.74855168123004, 108.13262318878157), (13.556036801706808, 105.96455448035564), (13.529148078010836, 113.70082441231071), (63.39895801821024, 33.714911393484265), (55.89792937134904, 33.676781341057406), (48.376807390272624, 36.83865081418382), (46.05264539420732, 33.626734712537626), (16.93, 48.90037388115492), (16.93, 56.40140511057612), (16.93, 63.937529620645314), (16.85210028905064, 89.41597495954831), (9.685994219124698, 30.418170858247503), (-1.1864607911172795, 30.302921582234557)]"
45,"(21.34183057540844, 31.48167487069745)","(26.94480480865728, 64.00607408074976)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (65.05739789372451, 36.917082975577266), (55.877953217556836, 36.87678146227507), (16.793919418826935, 96.97221547985183), (16.758206320974054, 105.35346617675464), (13.559230493356326, 105.04568376862272), (16.729148078010837, 113.71808897259488), (13.52772591857001, 114.11), (65.038599188479, 33.71724081003538), (55.89792937134904, 33.676781341057406), (48.376807390272624, 36.83865081418382), (47.95441357928941, 33.63640198938921), (16.93, 48.90037388115492), (16.93, 56.40140511057612), (16.93, 63.91995354366728), (16.852225301339352, 89.39973898855177), (13.813986307724011, 30.75820315549621), (0.8858008906937691, 30.300047432883918)]"
46,"(21.969109139221267, 31.16096092615642)","(28.11180957835349, 63.93527187261995)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (69.32414330554444, 36.898709430741675), (57.36440631481642, 36.88433756387086), (16.79442557932029, 96.90647788577769), (16.761161128992697, 104.50290358281634), (13.559230493356326, 105.04568376862272), (16.730684492070587, 113.27582121110937), (13.532846161482986, 112.63683296760915), (69.22307745967146, 33.6991609711296), (56.97627370513502, 33.68226289937657), (48.376807390272624, 36.83865081418382), (48.39440868870376, 33.63863862084063), (16.93, 48.90037388115492), (16.93, 56.40140511057612), (16.93, 63.903862115661624), (16.852265549632687, 89.39451174145495), (20.143994123139528, 32.29326455887268), (5.262709602255868, 30.293976824407412)]"
