TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates
430,"(28.346668377034437, 22.667322659279684)","(36.348624179310384, 68.78579413737663)"
431,"(24.860740264342777, 22.923583218677315)","(32.363010960137245, 71.83954139410471)"
432,"(24.849620201756554, 22.373236311381014)","(33.279870917189825, 69.91967702689259)"
434,"(25.55488691438058, 23.41756107264167)","(34.96326425111205, 68.89988586345791)"
435,"(26.86940200595056, 23.574152149167887)","(36.56586595187004, 67.5529480116204)"
436,"(25.69308193902154, 23.230711108575345)","(35.18086932914521, 68.12800168303721)"
437,"(26.947139325153547, 23.433896602570396)","(36.606678393557516, 67.33192332995907)"
476,"(20.604078374407766, 30.771047646526693)","(27.18039317701939, 62.85029912154306)"
477,"(20.488032330443982, 30.857462716034153)","(28.276655085625606, 62.7028625808658)"
478,"(20.549610884995392, 30.806175584728553)","(29.375744699302658, 62.540633257202565)"
527,"(25.394744605682153, 23.30339769879861)","(34.071279630607265, 69.95821309531954)"
528,"(25.24443293756467, 23.426943606259286)","(34.656779162695734, 69.38735900080759)"
529,"(25.110174372591427, 23.48496773676839)","(35.50322539964197, 69.02153040858057)"
530,"(25.188682524125575, 23.199137953934187)","(36.68742694089134, 68.63771423219812)"
594,"(27.688765618010102, 22.645600613201154)","(38.949468686138104, 70.53984728670889)"
597,"(25.74873879852206, 22.97542653284808)","(34.0804742393228, 71.37915091062962)"
607,"(24.85160815371557, 22.505560625060916)","(33.46010045813494, 77.90112319532122)"
608,"(24.851515703170893, 22.505560881057797)","(33.4601825755175, 77.90112308142749)"
609,"(24.851497705076575, 22.505560930896152)","(33.460198562412636, 77.90112305925426)"
610,"(24.851497705076575, 22.505560930896152)","(33.460198562412636, 77.90112305925426)"
611,"(24.851497705076575, 22.505560930896152)","(33.460198562412636, 77.90112305925426)"
623,"(24.851606655195788, 22.505572400071866)","(33.46016590218354, 77.90110275419822)"
624,"(24.85152483577886, 22.50557262663347)","(33.460238577534405, 77.90110265340023)"
625,"(24.85152483577886, 22.50557262663347)","(33.460238577534405, 77.90110265340023)"
626,"(24.851517963466872, 22.505572645663626)","(33.460244681938065, 77.90110264493366)"
627,"(24.851517963466872, 22.505572645663626)","(33.460244681938065, 77.90110264493366)"
673,"(20.60192558051913, 31.690235095847395)","(27.90391709838073, 62.266408094632055)"
688,"(19.227489491669136, 26.627390564716407)","(22.463037815823622, 72.26649149836692)"
690,"(18.956376286118555, 26.895977643538632)","(22.537572785132145, 72.52369767237907)"
776,"(24.961307813417953, 23.738357931808856)","(34.27787826555866, 69.64835132389726)"
791,"(24.856119917297736, 22.783919620986214)","(33.45597324612908, 78.08539939216314)"
792,"(24.856119917297736, 22.783919620986214)","(33.45597324612908, 78.08539939216314)"
793,"(24.856119917297736, 22.783919620986214)","(33.45597324612908, 78.08539939216314)"
794,"(24.856119917297736, 22.783919620986214)","(33.45597324612908, 78.08539939216314)"
795,"(24.856119917297736, 22.783919620986214)","(33.45597324612908, 78.08539939216314)"
807,"(24.856221018815024, 22.78391934328568)","(33.45588341269243, 78.08539951675874)"
808,"(24.856163661221416, 22.783919500830894)","(33.45593437704558, 78.0853994460731)"
809,"(24.856129262244234, 22.7839195953174)","(33.45596494251575, 78.08539940367994)"
810,"(24.866183106416564, 22.91262867686218)","(33.461902567868854, 77.98953287968278)"
811,"(24.9299578685784, 23.344346433530674)","(33.49920916716782, 77.66619459795545)"
872,"(24.852024608927376, 22.475859976211247)","(33.459709185981495, 77.88290341078407)"
873,"(24.852015885690804, 22.475790301447912)","(33.459760791075524, 77.88284581560009)"
874,"(24.852020279661144, 22.475791198764423)","(33.45976787136425, 77.8828425773821)"
875,"(24.85202229302745, 22.47579156159606)","(33.459773991958826, 77.88283977808673)"
888,"(24.852031377907327, 22.47579153620883)","(33.45977257895436, 77.88283978937098)"
889,"(24.852022855905105, 22.47579155983024)","(33.45978014899439, 77.88283977887161)"
890,"(24.852022855905105, 22.47579155983024)","(33.45978014899439, 77.88283977887161)"
891,"(24.852022855905105, 22.47579155983024)","(33.45978014899439, 77.88283977887161)"
941,"(20.600209835944597, 29.538093119188204)","(29.81809238139786, 60.15063005855091)"
942,"(20.599739650829378, 29.20006818116994)","(29.818784107226573, 59.95007444418881)"
943,"(20.59953715758939, 29.058820963490543)","(29.81908040111625, 59.86364035151127)"
944,"(20.599524674063193, 29.05021948902827)","(29.81909906033508, 59.85780598952822)"
957,"(15.882873337881048, 29.65806058110484)","(18.479362472632435, 76.91146061253643)"
958,"(19.709632514050014, 31.095450606228393)","(19.74917675913046, 73.5508881287492)"
960,"(16.794599452787285, 28.602300852723708)","(19.51590162516327, 75.90445337128635)"
961,"(20.31089049704072, 29.577854270078905)","(20.780991991431964, 72.54457855366618)"
963,"(16.59132315828935, 29.124074086564153)","(21.164083137255595, 76.9054870764524)"
964,"(20.23395080500029, 29.163098757512664)","(23.777194334764435, 76.28369298246744)"
1015,"(20.256113391002255, 26.866494393083077)","(30.12472691819969, 57.837470938173304)"
1016,"(19.924444163337185, 28.04151863034511)","(30.768864507972733, 59.81918646428846)"
1017,"(20.32838336921545, 26.674081346622586)","(32.2007879532453, 58.689160901570794)"
1038,"(26.11675176864924, 23.637233599061233)","(41.83957045614498, 58.18824815697843)"
